ipes_id,polo_id
1990,81
1990,115
1990,116
1990,117
1990,118
1990,156
1990,299
1990,330
1990,400
1990,438
1990,444
1990,487
1990,535
1990,560
1990,582
1990,598
1990,724
1990,784
1990,997
1990,998
1990,1009
2001,180
2001,181
2001,184
2001,185
2001,186
2001,189
2001,190
2001,191
2001,192
2001,198
2001,199
2001,200
2008,85
2008,89
2008,90
2008,91
2008,92
2008,94
2008,96
2008,424
2008,502
2008,526
2008,768
2008,909
2008,919
2008,924
2008,925
2008,926
2008,945
2008,948
2035,88
2035,89
2035,92
2035,96
2035,97
2035,99
2035,102
2035,108
2035,275
2035,313
2035,315
2035,335
2035,353
2035,376
2035,442
2035,471
2035,472
2035,502
2035,515
2035,526
2035,534
2035,543
2035,554
2035,574
2035,619
2035,638
2035,671
2035,694
2035,695
2035,699
2035,716
2035,719
2035,734
2035,735
2035,742
2035,764
2035,909
2035,919
2035,1018
2035,1021
2035,1022
2035,1023
2035,1024
2035,1025
2035,1026
2035,1027
2035,1029
2035,1030
2035,1031
2035,1032
2035,1033
2035,1035
2035,1036
2035,1141
2035,1155
2035,1163
2035,1164
2035,1181
2035,1182
2035,1198
2139,230
2139,233
2139,240
2139,242
2139,244
2139,245
2139,248
2139,250
2139,251
2139,252
2139,254
2139,255
2139,257
2139,260
2139,346
2139,407
2139,466
2139,599
2139,707
2139,710
2139,711
2139,793
2139,794
2139,999
2139,1000
2139,1080
2737,87
2737,88
2737,90
2737,95
2737,105
2737,111
2737,277
2737,315
2737,375
2737,392
2737,619
2737,742
2737,765
2825,9
2825,38
2825,40
2825,41
2825,42
2825,43
2825,44
2825,46
2825,47
2825,48
2825,50
2825,52
2825,337
2825,381
2825,520
2825,532
2825,602
2825,728
2825,955
2831,17
2831,18
2831,129
2831,130
2831,133
2831,134
2831,215
2831,216
2831,217
2831,218
2831,220
2831,221
2831,222
2831,225
2831,226
2831,227
2831,358
2831,614
2990,1
2990,2
2990,3
2990,5
2990,6
2990,7
2990,8
2990,12
2990,21
2990,33
2990,44
2990,58
2990,73
2990,74
2990,75
2990,78
2990,80
2990,90
2990,95
2990,100
2990,117
2990,139
2990,140
2990,171
2990,217
2990,251
2990,275
2990,279
2990,288
2990,290
2990,303
2990,313
2990,330
2990,444
2990,477
2990,647
2990,685
2990,707
2990,716
2990,999
2990,1010
2990,1078
3206,25
3206,302
3206,359
3206,492
3206,498
3206,507
3206,510
3206,518
3206,762
3206,811
3444,39
3444,40
3444,41
3444,42
3444,43
3444,44
3444,46
3444,47
3444,50
3444,51
3444,337
3444,354
3444,381
3444,520
3444,532
3444,570
3444,576
3444,581
3444,602
3444,633
3444,728
3511,172
3511,174
3511,233
3511,258
3511,259
3511,262
3511,281
3511,311
3511,346
3511,388
3511,407
3511,466
3511,500
3511,517
3511,612
3511,651
3511,697
3511,707
3511,767
3511,789
3511,792
3511,793
3511,794
3511,856
3511,876
3511,877
3511,1062
3511,1078
3727,86
3727,90
3727,94
3727,103
3727,110
3727,111
3727,296
3727,335
3727,391
3727,422
3727,434
3727,472
3727,515
3727,533
3727,548
3727,567
3727,623
3727,638
3727,695
3727,748
3727,768
3727,909
3727,918
3727,919
3727,926
3727,945
3727,948
3727,950
3785,124
3785,129
3785,130
3785,358
3785,373
3785,495
3785,614
3803,288
3803,289
3803,290
3803,308
3803,310
3803,317
3803,433
3803,446
3803,489
3803,575
3803,647
3803,833
3803,834
3803,857
3803,860
3803,868
3869,1
3869,2
3869,3
3869,7
3869,14
3869,217
3869,218
3869,220
3869,221
3869,222
3869,225
3869,672
3870,20
3870,21
3870,22
3870,23
3870,24
3870,25
3870,28
3870,29
3870,30
3870,31
3870,33
3870,302
3870,359
3870,421
3870,458
3870,498
3870,507
3870,509
3870,621
3870,684
3870,762
3870,805
3870,816
4044,302
4044,421
4044,498
4044,510
4044,762
4044,808
4044,1006
4044,1054
4044,1063
4044,1075
4044,1082
4044,1087
4044,1123
4044,1125
4106,73
4106,74
4106,75
4106,76
4106,77
4106,78
4106,80
4106,81
4106,82
4106,303
4106,477
4106,501
4106,578
4106,747
4106,888
4183,276
4183,280
4183,281
4183,282
4183,313
4183,353
4183,375
4183,437
4183,442
4183,685
4183,694
4183,1024
4183,1025
4183,1028
4183,1030
4183,1032
4183,1033
4183,1036
4183,1076
4183,1095
4183,1107
4203,154
4203,156
4203,157
4203,158
4203,159
4203,160
4203,161
4203,162
4203,163
4203,164
4203,165
4203,166
4203,167
4203,168
4203,347
4203,378
4203,428
4203,561
4203,572
4203,582
4203,600
4203,629
4203,635
4203,746
4203,751
4203,797
4203,798
4203,805
4203,813
4203,978
4203,979
4203,983
4203,984
4203,987
4203,990
4284,233
4284,240
4284,246
4284,250
4284,364
4284,710
4307,180
4307,188
4307,189
4307,190
4307,191
4307,194
4307,196
4307,202
