ID,lat,long,SIGLA,LOGRADOURO,BAIRRO,COMPLEMENTO,MUNICIPIO,UF,CEP,TELEFONE,URL,,,NOME,
4663,-22.91190060,-43.22433052,CEFET/RJ,"AV. MARACANÃ, 229",MARACANÃ,,Rio de Janeiro,RJ,20271110,(21) 25688890,http://dippg.cefet-rj.br/,,,CENTRO FEDERAL DE EDUCAÇÃO TECN. CELSO SUCKOW DA FONSECA,
5128,-22.87670000,-43.24460000,FIOCRUZ,"Avenida Brasil, 4365 ? Pavilhão Mourisco ? térreo ? sala 7",Manguinhos,,Rio de Janeiro,RJ,21040900,(21) 38851715,http://www.ensp.fiocruz.br,,,FUNDACAO OSWALDO CRUZ (FIOCRUZ),
5138,,,FUFSE,"AVENIDA MARECHAL RONDON, S/Nº",Jardim Rosa Elze,,São Cristóvão,SE,49100000,(79) 21056408,http://www.posgraduacao.ufs.br/npged,,,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,
2139,-32.03246890,-52.09894610,FURG,AVENIDA ITÁLIA KM 8 - CAMPUS CARREIROS,CARREIROS,,Rio Grande,RS,96201900,(53) 32336730,http://www.furg.br,,,UNIVERSIDADE FEDERAL DO RIO GRANDE,
4664,-9.55320000,-35.77330000,IFAL,Rua Lourival Alfredo,Poeira,,Marechal Deodoro,AL,57160000,() ,,,,"INSTITUTO FED. DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",
5206,-3.12332820,-60.02508460,IFAM,AVENIDA SETE DE SETEMBRO. Nº: 1975,,,Manaus,AM,69020120,(92) 36216728,http://www.ifam.edu.br,,,"INSTITUTO FEDERAL DE EDUC., CIÊNCIA E TECNOLOGIA DO AMAZONAS",
4377,,,IFBA,"AVENIDA ARAÚJO PINHO, 39",CANELA,,Salvador,BA,40110150,(71) 32210333,http://portal.ifba.edu.br/inicio/inicio.html,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",
2825,-3.73045120,-38.52179890,IFCE,"Avenida Rui Barbosa, 2847",Dionísio Torres,,Fortaleza,CE,60040531,(85) 34012300,www.ifce.edu.br,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",
5202,-20.30536000,-40.30126000,IFES,Avenida Rio Branco,Santa Lucia,,Vitória,ES,29056255,() ,,,,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",
4380,-2.53377000,-44.28783000,IFMA,Castelo Branco,São Francisco,789,São Luís,MA,65076091,(98) 32189003,www.ifma.edu.br,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",
5197,-15.59211000,-56.09827000,IFMT,"RUA COMANDANTE COSTA, 1144 - ED. TARCOM",CENTRO SUL,,Cuiabá,MT,78020400,(65) 36164100,http://www.ifmt.edu.br,,,"INSTITUTO FED. DE EDUC., CIÊNC. E TECNOLOGIA DE MATO GROSSO",
5153,-15.48750000,-44.36111100,IFNMG,Fazenda São Geraldo Km 06,Bom Jardim,,Januária,MG,39480000,() ,,,,"INST. FED. EDUC., CIÊNC. E  TECNOL. DO NORTE DE MINAS GERAIS",
2831,-1.43790000,-48.46133000,IFPA,"AV.JOÃO PAULO II, S/N - PRÉDIO DA REITORIA",CASTANHEIRA,,Belém,PA,66645240,(91) 33420599,http://www.castanhal.ifpa.edu.br,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",
5208,-7.00422000,-34.83417000,IFPB,"AV. 1º DE MAIO, 720",JAGUARIBE,,João Pessoa,PB,58015430,(83) 32083000,,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN. DA PARAÍBA",
4667,-8.05665340,-34.95558870,IFPE,"AVENIDA PROFESSOR  LUÍZ FREIRE, 500",C.UNIVERSITÁRIA,,Recife,PE,50740540,(81) 21251691,http://www.recife.ifpe.edu.br,,,"INSTITUTO FED. DE EDUC., CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",
2838,,,IFPI,"PRAÇA DA LIBERDADE, 1597",Centro-Norte,,Teresina,PI,64000040,(86) 31311442,http://www.ifpi.edu.br,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ",
5192,-5.81144220,-35.20462350,IFRN,"Rua Nilo Bezerra Ramalho, 1692",Tirol,,Natal,RN,59015300,(84) 40050750,http://portal.ifrn.edu.br/,,,"INSTITUTO FED. DE EDUC, CIÊN. E TECN. DO RIO GRANDE DO NORTE",
5200,2.81362000,-60.69447000,IFRR,Avenida Glaycon de Paiva,Pricumã,,Boa Vista,RR,69303340,() ,,,,"INSTITUTO FED. DE EDUCACAO, CIÊNCIA E TECNOLOGICA DE RORAIMA",
5195,-27.59071840,-48.55822600,IFSC,"Rua 14 de julho,nº 150 Enseada dos Marinheiros",Coqueiros,,Florianópolis,SC,88075010,(48) 38779000,http://www.ifsc.edu.br/,,,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",
5209,-31.76658000,-52.35226000,IFSul,"GONÇALVES CHAVES, 3798",CENTRO,,Pelotas,RS,96015560,(53) 33091750,http://www.sapucaia.ifsul.edu.br/,,,"INSTITUTO FEDERAL DE EDUC., CIÊNC. E TECN. SUL-RIO-GRANDENSE",
4985,-19.75083300,-47.93666600,IFTM,Doutor Randolfo Borges Júnior,Univerdecidade,- de 1701/1702 ao fim,Uberaba,MG,38064300,(34) 33261166,http://www.iftm.edu.br/,,,"INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO",
4138,,,IFTO,Av.Joaquim T.Segurado Q.202 Sul-Conj.01-Lote 08,Plano Diretor Sul,,Palmas,TO,77102030,(63) 32292200,http://www.ifto.edu.br,,,"INSTITUTO FED. DE EDUC., CIÊNCIA E TECNOLOGIA DO TOCANTINS",
3879,,,INES,RUA DAS LARANJEIRAS,LARANJEIRAS,,Rio de Janeiro,RJ,22240001,() ,,,,INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,
5258,-27.58481000,-48.50266000,UDESC,"AV. MADRE BENVENUTA, 2.007",ITACORUBI,,Florianópolis,SC,88035001,(48) 33218000,http://www.udesc.br,,,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,
3519,-3.13286190,-59.98652910,UEA,"AV. DJALMA BATISTA, 3578",FLORES,,Manaus,AM,69050030,(92) 36467297,http://www.pos.uea.edu.br/letraseartes/,,,UNIVERSIDADE DO ESTADO DO AMAZONAS,
3444,-3.79437000,-38.55619000,UECE,Av. Silas Munguba,ITAPERI,,Fortaleza,CE,60714903,(85) 31019601,http://www.politicasuece.com,,,UNIVERSIDADE ESTADUAL DO CEARÁ,
4422,-12.25789340,-38.95980470,UEFS,"Avenida Transordestina, S/N",NOVO HORIZONTE,,Feira de Santana,BA,44036900,(75) 31613161,http://www.uefs.br,,,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,
4106,-16.33328280,-48.95257560,UEG,BR 153 QUADRA ÁREA KM 99,,,Anápolis,GO,75132903,(62) 33281178,http://www.prp.ueg.br/renac,,,UNIVERSIDADE ESTADUAL DE GOIÁS,
4584,-23.31128780,-51.15950230,UEL,RODOVIA CELSO GARCIA - CID PR 445 - KM 380,JARDIM PEROBAL,,Londrina,PR,86057970,(43) 33714000,http://www.seti.pr.gov.br/,,,UNIVERSIDADE ESTADUAL DE LONDRINA,
4343,-23.42510410,-51.93828460,UEM,"AVENIDA COLOMBO, 5.790",ZONA SETE,,Maringá,PR,87020900,(44) 30114200,http://www.pfi.uem.br,,,UNIVERSIDADE ESTADUAL DE MARINGÁ,
4341,-2.57830000,-44.20801000,UEMA,"CIDADE UNIVERSITÁRIA PAULO VI, S/N",TIRIRICAL,,São Luís,MA,65055970,(98) 32455461,http://www.ppghen.uema.br,,,UNIVERSIDADE ESTADUAL DO MARANHÃO,
2008,-19.94756360,-43.93532810,UEMG,"Rod. Prefeito Américo Giannetti, 4143",Serra Verde,Ed. Minas – 8º andar,Belo Horizonte,MG,31630901,(31) 39161500,http://www.ppgd.uemg.br/,,,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,
5274,-22.19699000,-54.93047000,UEMS,"ROD. DOURADOS - ITAHUM, KM 12",C.UNIVERSITÁRIA,,Dourados,MS,79804970,(67) 34119000,http://www.uems.br,,,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,
2001,-21.76155120,-41.30181230,UENF,"AV. ALBERTO LAMEGO, 2000",HORTO,,Campos dos Goytacazes,RJ,28013602,(22) 27261500,http://www.uenf.br/pos-graduacao/biociencias-biotecnologia/,,,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,
5304,,,UENP,"Avenida Getúlio Vargas, 850",CENTRO,,Jacarezinho,PR,86400000,(43) 35253589,http://www.uem.br,,,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,
3785,-1.43021110,-48.48876840,UEPA,"RUA DO UNA, 156",TELÉGRAFO,,Belém,PA,66.050-540,(91) 32992200,http://www.uepa.br/portal/index.php,,,UNIVERSIDADE DO ESTADO DO PARÁ,
4312,-7.22467430,-35.87712920,UEPB,"AV. DAS BARAÚNAS, 351-CAMP.UNIVERSITÁRIO",UNIVERSITÁRIO,,Campina Grande,PB,58429500,(83) 33153300,http://pos-graduacao.uepb.edu.br/ppgec/,,,UNIVERSIDADE ESTADUAL DA PARAIBA,
4475,-25.08916850,-50.16018120,UEPG,Avenida General Carlos Cavalcanti,Uvaranas,Bloco M - Sala 64,Ponta Grossa,PR,84030900,(42) 32203000,http://sites.uepg.br/ppgcsa/,,,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,
3586,,,UERGS,"RUA SETE DE SETEMBRO, 1156",CENTRO,,Porto Alegre,RS,90010191,(51) 32889000,http://www.uergs.edu.br/,,,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,
4307,-22.91117095,-43.23577960,UERJ,"RUA SÃO FRANCISCO XAVIER, 524-SALA T-029",MARACANÃ,,Rio de Janeiro,RJ,20550900,(21) 23342182,WWW.UERJ.BR,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,
4456,-5.18942000,-37.33991000,UERN,"Campus Universitário-Br-110, KM-46 Costa e Silva",,,Mossoró,RN,59600970,(84) 33152145,http://www.uern.br,,,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,
4440,-14.85674870,-40.84148040,UESB,"ESTRADA DO BEM QUERER, KM 04",C.UNIVERSITÁRIO,,Vitória da Conquista,BA,45083900,(77) 34248640,http://www.uesb.br/ppgcel/,,,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,
3206,-14.79304500,-39.04602000,UESC,"RODOVIA JORGE AMADO KM 16, S/N",SALOBRINHO,,Ilhéus,BA,45660000,(73) 36805200,http://www.uesc.br/cursos/pos_graduacao/mestrado/profisica/,,,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,
4496,-5.08964030,-42.80958800,UESPI,"RUA JOÃO CABRAL, 2231",PIRAJÁ,,Teresina,PI,64002150,(86) 32137524,http://www.uespi.br,,,FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI,
4183,-23.66099060,-46.54528200,UFABC,"Avenida dos Estados, 5001",BANGU,,Santo André,SP,9210580,(11) 44378400,http://propg.ufabc.edu.br/,,,UNIVERSIDADE FEDERAL DO ABC,
4310,-9.97653620,-67.82207780,UFAC,CAMPUS UNIVERSITÁRIO - BR 364 KM 4,,,Rio Branco,AC,69915900,(68) 39012500,http://www.ufac.br,,,UNIVERSIDADE FEDERAL DO ACRE,
4353,-9.64768430,-35.73392640,UFAL,AV MANOEL SEVERINO BARBOSA,BOM SUCESSO,,Arapiraca,AL,57309005,(82) 32141172,http://www.ufal.edu,,,UNIVERSIDADE FEDERAL DE ALAGOAS,
3869,-3.09932000,-59.97483000,UFAM,"Av.General Rodrigo Otávio Jordão Ramos, 3000",COROADO II,,Manaus,AM,69077000,(92) 33054332,www.ufam.edu.br,,,Universidade Federal do Amazonas,
4354,-13.00261240,-38.50692590,UFBA,Avenida Reitor Miguel Calmon s/n,Vale do Canela,Escola de ADM da UFBA,Salvador,BA,40110903,(71) 32837000,http://www.ufba.br/,,,UNIVERSIDADE FEDERAL DA BAHIA,
4360,-3.74549000,-38.57574000,UFC,"AV. DA UNIVERSIDADE, 2853",BENFICA,,Fortaleza,CE,60020181,(85) 33667300,http://www.ufc.br/&#8206,,,,UNIVERSIDADE FEDERAL DO CEARÁ
4366,-5.19043320,-37.34438720,UFERSA,"Av. Francisco Mota, 572",Costa e Silva,,Mossoró,RN,59625900,(84) 33178296,http://www.ufersa.edu.br/ppid,,,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,
4349,-20.26576830,-40.29716730,UFES,"AV. FERNANDO FERRARI, 514",GOIABEIRAS,,Vitória,ES,29075910,(27) 33352244,http://www.ufes.br,,,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,
4348,-22.88323710,-43.11545520,UFF,RUA MIGUEL DE FRIAS 9,Icaraí,,Niterói,RJ,24220900,(21) 26295000,http://www.profiap.uff.br/,,,UNIVERSIDADE FEDERAL FLUMINENSE,
4361,-16.68088200,-49.25326910,UFG,"Prédio da Reitoria, 1º. Andar",Camp.Samambaia,,Goiânia,GO,74001970,(62) 35211000,http://www.ufg.br,,,UNIVERSIDADE FEDERAL DE GOIÁS,
5280,-22.22061450,-54.81220800,UFGD,"Rua João Rosa Góes, 1761",Vila Progresso,,Dourados,MS,79825070,(67) 34102850,http://portal.ufgd.edu.br/,,,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,
4352,-21.76095330,-43.35011290,UFJF,José Lourenço Kelmer,São Pedro,,Juiz de Fora,MG,36036330,(32) 21023785,http://www.ufjf.br/,,,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,
4370,-21.22714610,-44.98208244,UFLA,"Campus Universitário, s/n - Caixa Postal 3037",,,Lavras,MG,37200000,(35) 38291126,http://www.ufla.br/,,,UNIVERSIDADE FEDERAL DE LAVRAS,
4309,-2.53192240,-44.29332760,UFMA,dos Portugueses,Vila Bacanga,,São Luís,MA,65080805,(98) 32728700,http://www.ppgca.ufma.br,,,UNIVERSIDADE FEDERAL DO MARANHÃO,
4351,-19.92273180,-43.94509480,UFMG,"Av. Antonio Carlos, 6627",Pampulha,,Belo Horizonte,MG,30000,(31) 34094047,http://www.ufmg.br,,,UNIVERSIDADE FEDERAL DE MINAS GERAIS,
5136,-20.47053020,-54.62435200,UFMS,"CIDADE UNIVERSITÁRIA, S/Nº",UNIVERSITÁRIO,,Campo Grande,MS,79070900,(67) 33457001,http://www-nt.ufms.br/,,,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,
1990,-15.59866860,-56.09913010,UFMT,"AV. FERNANDO CORREA DA COSTA, S/Nº",COXIPÓ,,Cuiabá,MT,78060900,(65) 36158000,http://www.ufmt.br/&#8206,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO
4378,-20.38516920,-43.50363440,UFOP,"RUA DIOGO DE VASCONCELOS, 122",PILAR,,Ouro Preto,MG,35400000,(31) 35591100,http://www.ufop.br,,,UNIVERSIDADE FEDERAL DE OURO PRETO,
4342,-1.45056000,-48.46824530,UFPA,"Av.Augusto Corrêa, s/n-Prédio Reitoria-3º andar",GUAMA,,Belém,PA,66075900,(91) 32017000,http://www.portal.ufpa.br,,,UNIVERSIDADE FEDERAL DO PARÁ,
4355,-7.11478410,-34.88979790,UFPB,º,,,Areia,PB,0,(83) 32167173,http://www.ufpb.br/,,,UNIVERSIDADE FEDERAL DA PARAIBA,
4357,-8.05810770,-34.89790470,UFPE,"AVENIDA PROF. MORAES REGO, 1235",Cidade Universitária,,Recife,PE,50670901,(81) 21268002,http://www.ufpb.br,,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,
4399,-31.77001040,-52.34115430,UFPEL,"Rua Gomes Carneiro, 01",Centro,,Pelotas,RS,96010610,(53) 32757107,http://portal.ufpel.edu.br,,,UNIVERSIDADE FEDERAL DE PELOTAS,
4203,-5.05794000,-42.79635000,UFPI,CAMP UNIVERSITARIO,ININGA,,Teresina,PI,0,(86) 32155512,http://www.ufpi.br,,,UNIVERSIDADE FEDERAL DO PIAUÍ,
4347,-25.42869270,-49.27237300,UFPR,"RUA XV DE NOVEMBRO, 1299",Centro,,Curitiba,PR,80060000,(41) 33605090,,,,UNIVERSIDADE FEDERAL DO PARANÁ,
4044,-12.67226490,-39.10536650,UFRB,"Rua Rui Barbosa, 710",Centro,,Cruz das Almas,BA,44380000,() ,https://www.ufrb.edu.br/portal/,,,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,
4358,-30.03329450,-51.21994690,UFRGS,"Av. Paulo Gama, 110 - 7º andar",Bom Fim,,Porto Alegre,RS,90040900,(51) 33167000,http://www.ufrgs.br,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,
4363,-22.85773470,-43.23058510,UFRJ,"Av. Brigadeiro Trompowsky, s/n - Préd.da Reitoria",Ilha do Fundão,,Rio de Janeiro,RJ,21941901,(21) 25989600,http://ufrj.br/,,,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,
4344,-5.80539800,-35.20809050,UFRN,AVENIDA SENADOR SALGADO FILHO,Lagoa Nova,,Natal,RN,0,(84) 32153125,www.sociairis.org,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,
4364,-8.05810770,-34.89790470,UFRPE,"Rua Dom Manoel de Medeiros, s/n",Dois Irmãos,,Recife,PE,52171900,(81) 33206000,http://www.pgbiom.ufrpe.br/,,,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,
5137,2.82080170,-60.67244790,UFRR,Av. Dr. Zany,Centro,,Caracaraí,RR,69360000,(95) 36213100,http://ufrr.br/ppgdra/,,,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,
4350,-22.91101370,-43.20937270,UFRRJ,"RODOVIA BR 465, KM 7",C.UNIVERSITÁRIO,,Seropédica,RJ,23835000,(21) 26821210,http://www.ufrrj.br/portal/modulo/home/index.php,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,
4362,-27.59730020,-48.54960980,UFSC,LOC  CONJUNTO UNIVERSITARIO,Trindade,,Florianópolis,SC,88045108,(48) 37219000,http://www.ufsc.br,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA,
4445,-22.01754350,-47.89097070,UFSCAR,Rodovia Washington Luís KM 235 SP310,São Carlos,,São Carlos,SP,13565905,(16) 33518111,http://www.ufscar.br,,,UNIVERSIDADE FEDERAL DE SÃO CARLOS,
2035,-21.13357550,-44.25880860,UFSJ,"PRAÇA FREI ORLANDO, 170",CENTRO,,São João del Rei,MG,36307352,(32) 33792340,http://www.ufsj.edu.br,,,Universidade Federal de São João del-Rei,
