id,lat,lng,sigla,nome,logradouro,bairro,complemento,cidade,estado,cep,telefone,url
3785,-1.43021110,-48.48876840,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,"RUA DO UNA, 156",TELÉGRAFO,,Belém,PA,66.050-540,(91) 32992200,http://www.uepa.br/portal/index.php
2831,-1.43790000,-48.46133000,IFPA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ","AV.JOÃO PAULO II, S/N - PRÉDIO DA REITORIA",CASTANHEIRA,,Belém,PA,66645240,(91) 33420599,http://www.castanhal.ifpa.edu.br
4342,-1.45056000,-48.46824530,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,"Av.Augusto Corrêa, s/n-Prédio Reitoria-3º andar",GUAMA,,Belém,PA,66075900,(91) 32017000,http://www.portal.ufpa.br
3803,-10.15671000,-48.34986000,UFT,UNIVERSIDADE FEDERAL DO TOCANTINS,"Av. NS 15, ALCNO 14, Bloco IV, 109 Norte",Centro,,Palmas,TO,77016524,(63) 32188037,http://ww1.uft.edu.br
5134,-10.19070000,-48.31658000,UNITINS,FUNDAÇÃO UNIVERSIDADE DO TOCANTINS,QUADRA 108 SUL - CONJ. L - LT. 03 - AL. 11,CENTRO,,Palmas,TO,77123360,(63) 2182941,
4422,-12.25789340,-38.95980470,UEFS,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,"Avenida Transordestina, S/N",NOVO HORIZONTE,,Feira de Santana,BA,44036900,(75) 31613161,http://www.uefs.br
4044,-12.67226490,-39.10536650,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,"Rua Rui Barbosa, 710",Centro,,Cruz das Almas,BA,44380000,() ,https://www.ufrb.edu.br/portal/
3870,-12.98163560,-38.48207710,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,"Avenida Silveira Martins, 2555",Cabula,,Salvador,BA,41150000,(71) 31172200,http://www.uneb.br
4354,-13.00261240,-38.50692590,UFBA,UNIVERSIDADE FEDERAL DA BAHIA,Avenida Reitor Miguel Calmon s/n,Vale do Canela,Escola de ADM da UFBA,Salvador,BA,40110903,(71) 32837000,http://www.ufba.br/
3206,-14.79304500,-39.04602000,UESC,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,"RODOVIA JORGE AMADO KM 16, S/N",SALOBRINHO,,Ilhéus,BA,45660000,(73) 36805200,http://www.uesc.br/cursos/pos_graduacao/mestrado/profisica/
