id,cidade,uf,lat,lng,nome_polo,nome_fantasia,logradouro,numero,bairro,cep,complemento,telefone1,telefone2,email1,email2,url
1163,Monte Sião,MG,-22.434,-46.573437,MONTE SIÃO - SÃO SIMÃO,Polo UAB Monte Sião,Av. das Fontes,771,São Simão,37580000,NULL,(35) 34653053,(35) 991885719,coordenacaopolouabmontesiao@gmail.com,elisandrapaulasantos@gmail.com,NULL
17,Santana,AP,-0.04211690,-51.16556940,SANTANA - NOVA BRASÍLIA,POLO UAB - SANTANA,Av. Antonio Nunes,1206,Nova Brasilia,68925000,NULL,(96) 32833563,(),uab.polosantana@yahoo.com.br,NULL,NULL
672,Santa Isabel do Rio Negro,AM,-0.27255260,-65.47573600,SANTA ISABEL DO RIO NEGRO - SAO JUDAS TADEU,ESCOLA TEM. BRIGADEIRO EDUARDO GOMES,Av. Eduardo Gomes,0,São Judas Tadeu,69740000,NULL,(97) 34411040,(),polouabsirn@gmail.com,NULL,NULL
131,Salinópolis,PA,-0.631168,-47.346938,SALINOPOLIS - PORTO GRANDE,POLO DE APOIO PRESENCIAL DE SALINOPOLIS,Av. Julio Cesar,39,Alacilândia,68721-00,NULL,(91) 34231578,(),polouabsalinopolis@yahoo.com.br,NULL,NULL
365,Cachoeira do Arari,PA,-0.85635920,-48.96059720,CACHOEIRA DO ARARI - PETROPOLIS,CACHOEIRA DO ARARI,Avenida Coronel Bento Miranda,500,Petrópolis,68840000,NULL,(91) 37581550,(),polouabdalcidiojurandir@hotmail.com,semed_ca@yahoo.com.br,NULL
495,Igarapé-Miri,PA,-1.06951300,-51.51500770,IGARAPE-MIRI - CIDADE NOVA,POLO UAB-IGARAPE-MIRI: CENTRO DE FORMACAO ACAI,Rua Simplicio de Moraes,0,Cidade Nova,68430000,NULL,(91) 37551351,(),uab_uepaigarapemiri@hotmail.com,gracieteeluziel@hotmail.com,NULL
358,Breves,PA,-1.29369760,-50.51355890,BREVES - AEROPORTO,CENTRO DE DESENV. E ED.PROFISSIONAL DR.JOAO MESSIAS DOS SANTOS-CEDEP,Av. Rio Branco,1752,Aeroporto,68800-00,NULL,(91) 93538165,(91) 37832081,polo.breves.pa.uab@hotmail.com,NULL,NULL
327,Barcarena,PA,-1.51997010,-48.69219110,BARCARENA - SAO FRANCISCO,POLO UAB - BARCARENA,Rodovia PA 481,0,Bairro São Francisco,68447000,NULL,(91) 983288831,(),polouabbarcarena1@gmail.com,NULL,NULL
127,Moju,PA,-1.891879,-48.76535,MOJU - LIDERANCA,POLO UAB - MOJU,Rua Vereador Salomão Cardoso,53,Liderança,68790000,NULL,(91) 37561383,(),eadpolomoju@yahoo.com.br,NULL,NULL
1184,Vila Rica,MT,-10.018334,-51.110642,VILA RICA - BELA VISTA,Polo UAB de Vila Rica,"Avenida Perimetral Leste, qda 47",0,Bela Vista,78645000,NULL,(66) 35542571,(66) 84080974,nucleovilarica@unemat.br,tinalimasousa@hotmail.com,Av Perimetral Leste
362,Buritis,RO,-10.12695850,-63.86405690,BURITIS - SETOR 1,CENTRO TECNOLOGICO DE FORMACAO INICIAL E CONTINUADA DO MAGISTERIO PUBLICO MUNICIPAL DE BURITIS,Av Ayrton Senna,971,Centro,76880000,Centro Tecnológico de Formação,(69) 32383998,(),polouabburitis@gmail.com,demicio@ig.com.br,NULL
1052,Aripuanã,MT,-10.17509800,-59.44787750,ARIPUANA - CENTRO,prefeitura municipal de aripuanã,Rua Pastor Alfredo Nogueira,607,Centro,78325-00,NULL,(66) 35653900,(),NULL,NULL,NULL
589,Nossa Senhora da Glória,SE,-10.18341520,-37.51080910,NOSSA SENHORA DA GLORIA - SILOS,POLO UAB - NOSSA SENHORA DA GLORIA,"Rodovia Engenheiro Jorge Neto, km 3",0,Silos,49680000,NULL,(79) 34111421,(79) 34111425,maisahdantas@yahoo.com.br,NULL,NULL
290,Palmas,TO,-10.24909100,-48.32428580,PALMAS - PLANO DIRETOR NORTE,POLO DE EAD EM PALMAS,"Quadra 206 norte, Av. LO 4",4,Plano Diretor norte,77006244,NULL,(63) 32186154,(),uabpalmas@tecnologia.to.gov.br,marilhasm@tecnologia.to.gov.br,NULL
594,Nova Mamoré,RO,-10.35559230,-64.62142810,NOVA MAMORE - CIDADE NOVA,POLO UAB DO MUNICIPIO DE NOVA MAMORE,Rua Raimundo Fernandes,2888,Cidade Nova,76857000,NULL,(69) 35442776,(),polouabnovamamore@gmail.com,uab@novamamore.ro.gov.br,NULL
428,Corrente,PI,-10.36934790,-45.14945050,CORRENTE - CENTRO,VALE DO CORRENTE,Praça Joaquim Nogueira,73,Centro,64980000,NULL,(),(),uabvaledocorrente@gmail.com,NULL,NULL
390,Carira,SE,-10.38335060,-37.68122800,CARIRA - VILA NOVA,POLO DE APOIO PRESENCIAL DE CARIRA,Rua João Paulo da Conceição,0,Vila Nova,49550000,NULL,(79),(),polocarira@gmail.com,NULL,NULL
