id_polo_1;"no_municipio_polo_2";"no_polo_3";"polo_dependencia_administrativa_4";"polo_status_5";"polo_conceito_6";id_ies_7;id_ies_8;"ies_uf_9";"sg_ies_10";"no_curso_11";id_curso_12;"tipo_curso_13";"dt_inicio_real_oferta_14";"dt_provavel_fim_15";"dt_fim_curso_16";qt_vagas_17;qt_alunos_formado_18;qt_alunos_nao_concluinte_19;qt_alunos_desvinculado_20;qt_alunos_cadastrado_21
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"ADMINISTRACAO PUBLICA"; 892;"BACHARELADO";"10/2013";"09/2017";"09/2017"; 50; 0; 0; 0; 45
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 0; 12
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 2
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 20; 5; 1; 9; 15
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"EDUCACAO EM DIREITOS HUMANOS"; 997;"APERFEIÇOAMENTO";;"02/2012";"09/2011"; 100; 0; 0; 0; 0
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"LETRAS PORTUGUES"; 165;"LICENCIATURA";"03/2014";"07/2018";"03/2018"; 40; 0; 0; 0; 37
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 1; 0; 3; 4
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"PEDAGOGIA"; 167;"LICENCIATURA";"03/2014";"01/2019";"09/2018"; 30; 0; 0; 12; 30
 1;"ACRELANDIA";"ACRELANDIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"TEATRO"; 168;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 0; 0; 4; 4
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"ADMINISTRACAO PUBLICA"; 892;"BACHARELADO";"10/2013";"09/2017";"09/2017"; 50; 0; 0; 0; 46
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 33; 33;"AM";"UFAM";"CIENCIAS AGRARIAS"; 36;"LICENCIATURA";;"02/2018";"03/2018"; 50; 0; 0; 0; 0
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"05/2014";"04/2016";"05/2016"; 30; 0; 0; 0; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 37; 37;"RJ";"UFF";"PLANEJAMENTO, IMPLEMENTACAO E GESTAO DA EDUCACAO A DISTANCIA"; 280;"ESPECIALIZAÇÃO";"10/2014";"09/2016";"09/2016"; 30; 0; 0; 0; 1
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 3; 1; 5; 9
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"ARTES VISUAIS"; 163;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 20; 2; 0; 6; 8
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"EDUCACAO EM DIREITOS HUMANOS"; 997;"APERFEIÇOAMENTO";;"02/2012";"09/2011"; 100; 0; 0; 0; 0
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"03/2009";"01/2013";"03/2013"; 20; 2; 0; 0; 2
 2;"BRASILEIA";"BRASILEIA - CENTRO";"Estadual";"ATIVO";"AA"; 65; 65;"DF";"UnB";"MUSICA"; 166;"LICENCIATURA";"10/2007";"01/2012";"10/2011"; 15; 0; 2; 0; 2
