"id","cidade","uf","lat","lng","nome_polo","nome_fantasia","logradouro","numero","bairro","cep","complemento","conceito"
"1","Acrelândia","AC","-9.91408540","-66.95114590","ACRELANDIA - CENTRO","CEDUP (CENTRO ESTADUAL DE EDUCACAO PERMANENTE)","RUA ADNILSON ROGÉRIO DE OLIVEIRA","951","CENTRO ","69945000","CENTRO DE EDUCAÇÂO A DISTANCIA","AA"
"2","Brasiléia","AC","-10.70599300","-69.19239160","BRASILEIA - CENTRO","POLO UAB - BRASILEIA","AVENIDA PREFEITO ROLANDO MOREIRA","230","CENTRO","69932000","CENTRO ESTADUAL DE EDUCAÇÃO PERMANENTE - CEDUP","AA"
"3","Cruzeiro do Sul","AC","-8.02617700","-72.80427970","CRUZEIRO DO SUL - CENTRO","CENTRO ESTADUAL DE EDUCACAO  PERMANENTE-CEDUP/UAB","RUA RUI BARBOSA","515","CENTRO","69980000","","AA"
"4","Feijó","AC","-9.20296890","-71.00223110","FEIJO - CIDADE NOVA","CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - FEIJO - UAB","TV. EDMUNDO RIBEIRO DO CARMO","220","CIDADE NOVA","69960000","CENTRO DE EDUCAÇÃO A DISTÂNCIA","AA"
"5","Rio Branco","AC","-9.94846840","-67.82076540","RIO BRANCO - VILA IVONETE","CENTRO  DE EDUCACAO PERMANENTE DE RIO BRANCO -CEDUP","Getúlio Vargas","3030","Vila Ivonete","69914000","","AA"
"6","Sena Madureira","AC","-9.60967170","-69.28775350","SENA MADUREIRA - CSU","CENTRO DE EDUCACAO PERMANENTE -CEDUP - "HEDY RIBEIRO DE QUEIROZ" - SENA MADUREIRA - UAB","RUA JOÃO MARÇAL","231","CSU","69940000","ESQUINA COM A RUA MARANHÃO","AA"
"7","Tarauacá","AC","-8.21323230","-71.38243740","TARAUACA - CENTRO","POLO UAB - CENTRO ESTADUAL DE EDUCACAO PERMANENTE (CEDUP)","RUA BENJAMIN CONSTANT ","1350","CENTRO","69970000","CENTRO DE ENSINO SUPERIOR A DISTÂNCIA DE TARAUACA","AA"
"8","Xapuri","AC","-10.53493910","-68.57241120","XAPURI - CENTRO","CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - XAPURI - UAB","Rua Banjamin Constant","S/N","CENTRO","69930000","","AA"
"9","Maceió","AL","-9.57476250","-35.76525320","MACEIO - TABULEIRO DO MARTINS","CAMPUS A. C. SIMOES - MACEIO - UAB","AV. LOURIVAL DE MELO MOTA","","TABULEIRO DO MARTINS","57072970"," Universidade federal de alagoas, km 97,6, br 104,","AA"
"10","Maragogi","AL","-8.94448080","-35.28076240","MARAGOGI - CENTRO","POLO UAB - MARAGOGI","PRAÇA MARIDITE ACIOLI","S/N","CENTRO","57955000","1° andar do B. Brasil","AA"
"11","Olho d'agua das Flores","AL","-9.49197370","-37.27580860","OLHO D'AGUA DAS FLORES - CENTRO","POLO DE APOIO PRESENCIAL UAB DE OLHO D'AGUA DAS FLORES","Rua 06 de Fevereiro","s/n","Centro","57442000","","AA"
"12","Santana do Ipanema","AL","-9.35509320","-37.19016160","SANTANA DO IPANEMA - NOVO CENTRO COMERCIAL","POLO UAB - SANTANA DO IPANEMA","PRAÇA DR ADELSON ISAAC DE MIRANDA","242","Novo Centro Comercial","57500000"," ","NA"
"14","Lábrea","AM","-8.69779580","-65.47573600","LABREA - CENTRO","POLO UAB - LABREA","Av Coronel Luis Gomes","211","Centro","69830000"," ","AA"
"16","Maués","AM","-5.30648790","-58.18929210","MAUES - SANTA LUZIA","POLO PRESENCIAL MUNICIPIO DE MAUES - MAUES - UAB","RUA BEIRA MATO","S/N","SANTA LUZIA","69190000","","AA"
"17","Santana","AP","-0.04211690","-51.16556940","SANTANA - NOVA BRASÍLIA","POLO UAB - SANTANA","AV: ANTONIO NUNES","1206","NOVA BRASÍLIA","68927248"," ","AA"
"18","Vitória do Jari","AP","1.09430410","-53.21804950","VITORIA DO JARI - CIDADE LIVRE","POLO UNIVERSITARIO CAULIM DA AMAZONIA - VITORIA DO JARI - UAB","Prédio","s/n","Cidade Livre","68924000","","FR"
"19","Bom Jesus da Lapa","BA","-13.27861540","-43.25215070","BOM JESUS DA LAPA - AMARALINA","POLO DE APOIO PRESENCIAL DE BOM JESUS DA LAPA","AVENIDA AGENOR MAGALHÃES","s/n","AMARALINA","47600000"," ao lado da estádio Bejamin Farah","AA"
"20","Camaçari","BA","-12.69584420","-38.32138160","CAMACARI - BAIRRO DO NATAL","POLO UAB - CAMACARI","Rua do Telégrafo","S/N","Bairro do Natal","42809000","Cidade do Saber","AA"
"21","Carinhanha","BA","-14.01195930","-43.86732220","CARINHANHA - CENTRO","POLO UAB - POLO EDUCACIONAL DONA CARMEN/CARINHANHA","PRAÇA DO EDUCANDÁRIO ","1","CENTRO","46445000"," próximo a praça beira rio","AA"
"22","Dias d'Ávila","BA","-12.60932210","-38.30603210","DIAS D'AVILA - NOVA DIAS D'AVILA","POLO UAB - DIAS D'AVILA","RUA CAJAHIBA","221","NOVA DIAS D'ÁVILA","42850000"," ESCOLA PROFESSORA ANFRÍSIA SANTIAGO","AA"
"23","Esplanada","BA","-11.85881870","-37.85123090","ESPLANADA - CENTRO","POLO UAB - ESPLANADA","Praça Nossa Senhora da Pompéia","172","Centro","48370000","Colégio Dr. Antonio Carlos Magalhães","AA"
"24","Ipupiara","BA","-11.81890580","-42.43316240","IPUPIARA - CENTRO","POLO UAB - IPUPIARA"," RUA Aurora","5","CENTRO","47590000"," ","AA"
"25","Itamaraju","BA","-17.06569650","-39.73433800","ITAMARAJU - JAQUEIRA","POLO UAB - ITAMARAJU","RUA IRMÃOS ANDRADA ","1635","JAQUEIRA","45836000"," ","AA"
"26","Itanhém","BA","-17.06579420","-40.39048800","ITANHEM - SAO JOAO","CENTRO DE EDUCACAO ABERTA E A DISTANCIA DE ITANHEM - CEADI","Rua Nova Venécia","sn","São João","45970000","","AA"
"27","Itapicuru","BA","-11.23628920","-38.23220280","ITAPICURU - CENTRO","POLO UAB - ITAPICURU","Pra da Bandeira","s/n","centro","48475000","centro","AA"
"28","Jacaraci","BA","-14.77314020","-42.27568610","JACARACI - CENTRO","POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL - JACARACI - BAHIA","AVENIDA MOZART DAVID","s/n","CENTRO","46310000","ao lado da biblioteca municipal","AA"
"29","Lauro de Freitas","BA","-12.85284380","-38.32711120","LAURO DE FREITAS - IPITANGA","POLO UAB - LAURO DE FREITAS","Rua dos Vereadores","s/n","Ipitanga","42700000","Joquei Clube","FR"
"30","Mata de São João","BA","-12.47787060","-38.12659160","MATA DE SAO JOAO - CENTRO","MARIA ODILIA VASCONCELOS","RUA MARECHAL DEODORO","36","CENTRO","48280000"," ","AA"
"31","Mundo Novo","BA","-11.94301560","-40.51271420","MUNDO NOVO - CENTRO","POLO UAB MUNDO NOVO","Rua José Carlos da Mota","S/N","CENTRO","44800000","","AA"
"32","Paratinga","BA","-12.58964710","-43.09716250","PARATINGA - SAO JOAO","POLO DA APOIO PRESENCIAL - PARATINGA - UAB","RUA SÃO JOÃO","S/Nº","SÃO JOÃO","47500000","PRÉDIO","AA"
"33","Piritiba","BA","-11.70887120","-40.59405650","PIRITIBA - CENTRO","POLO UAB DE APOIO PRESENCIAL DE PIRITIBA - BA","Praça Professor Luís Rogério","S/N","Centro","44830000","","AA"
"35","São Sebastião do Passé","BA","-12.50579780","-38.52703050","SAO SEBASTIAO DO PASSE - RODOVIA","POLO UAB - SAO SEBASTIAO DO PASSE - BA","BR 110, KM 10                              ","S/N","RODOVIA","43850000","","NA"
"36","Senhor do Bonfim","BA","-10.47570970","-40.10430570","SENHOR DO BONFIM - BARBOSA SANTOS","POLO UAB - SENHOR DO BONFIM","RUA JOSÉ FRANSCISCO","S/N","BARBOSA SANTOS","48970000","REFERENCIA CODETAN","NA"
"37","Simões Filho","BA","-12.77007160","-38.42188490","SIMOES FILHO - C.I.A 1","POLO UAB-SIMOES FILHO","Avenida Elmo Serejo Farias","2345","C.I.A 1","43700000"," Ao lado do Colégio Metropolitano","FR"
"38","Aracati","CE","-4.64099590","-37.68122800","ARACATI - AEROPORTO","POLO UAB - ARACATI","Br 304 - Km 44","200","Aeroporto","62800000","E. E. F. Antônio monteiro","NA"
"39","Aracoiaba","CE","-4.52154180","-38.52703050","ARACOIABA - CONJUNTO SOLON LIMAVERDE","POLO UAB - ARACOIABA","AV. MANOEL BATISTA DA SILVA","","CONJUNTO SOLON LIMAVERDE","62755000"," ","FR"
"40","Barbalha","CE","-7.38119670","-39.27910110","BARBALHA - BURITI","POLO UAB - BARBALHA","AV JOSÉ BERNADINO CAVALCANTE LEITE","SN","BURITI","63180000","KM 04","FR"
"41","Camocim","CE","-2.92643570","-40.83740110","CAMOCIM - CENTRO","POLO UAB - CAMOCIM","RUA DA INDEPENDÊNCIA ","412","CENTRO","62400000"," ","AA"
