id_polo,uf_polo,municipio_polo,nome_polo,nome_fantasia,polo_logradouro,polo_numero,polo_bairro,polo_cep,polo_complemento
1,AC,Acrelândia,ACRELANDIA - CENTRO,CEDUP (CENTRO ESTADUAL DE EDUCACAO PERMANENTE),RUA ADNILSON ROGÉRIO DE OLIVEIRA,951,CENTRO ,69945000,CENTRO DE EDUCAÇÂO A DISTANCIA
2,AC,Brasiléia,BRASILEIA - CENTRO,POLO UAB - BRASILEIA,AVENIDA PREFEITO ROLANDO MOREIRA,230,CENTRO,69932000,CENTRO ESTADUAL DE EDUCAÇÃO PERMANENTE - CEDUP
3,AC,Cruzeiro do Sul,CRUZEIRO DO SUL - CENTRO,CENTRO ESTADUAL DE EDUCACAO  PERMANENTE-CEDUP/UAB,RUA RUI BARBOSA,515,CENTRO,69980000,
4,AC,Feijó,FEIJO - CIDADE NOVA,CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - FEIJO - UAB,TV. EDMUNDO RIBEIRO DO CARMO,220,CIDADE NOVA,69960000,CENTRO DE EDUCAÇÃO A DISTÂNCIA
5,AC,Rio Branco,RIO BRANCO - VILA IVONETE,CENTRO  DE EDUCACAO PERMANENTE DE RIO BRANCO -CEDUP,Getúlio Vargas,3030,Vila Ivonete,69914000,
6,AC,Sena Madureira,SENA MADUREIRA - CSU,"CENTRO DE EDUCACAO PERMANENTE -CEDUP - ""HEDY RIBEIRO DE QUEIROZ"" - SENA MADUREIRA - UAB",RUA JOÃO MARÇAL,231,CSU,69940000,ESQUINA COM A RUA MARANHÃO
7,AC,Tarauacá,TARAUACA - CENTRO,POLO UAB - CENTRO ESTADUAL DE EDUCACAO PERMANENTE (CEDUP),RUA BENJAMIN CONSTANT ,1350,CENTRO,69970000,CENTRO DE ENSINO SUPERIOR A DISTÂNCIA DE TARAUACA
8,AC,Xapuri,XAPURI - CENTRO,CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - XAPURI - UAB,Rua Banjamin Constant,S/N,CENTRO,69930000,
9,AL,Maceió,MACEIO - TABULEIRO DO MARTINS,CAMPUS A. C. SIMOES - MACEIO - UAB,AV. LOURIVAL DE MELO MOTA,,TABULEIRO DO MARTINS,57072970," Universidade federal de alagoas, km 97,6, br 104,"
10,AL,Maragogi,MARAGOGI - CENTRO,POLO UAB - MARAGOGI,PRAÇA MARIDITE ACIOLI,S/N,CENTRO,57955000,1° andar do B. Brasil
11,AL,Olho d'agua das Flores,OLHO D'AGUA DAS FLORES - CENTRO,POLO DE APOIO PRESENCIAL UAB DE OLHO D'AGUA DAS FLORES,Rua 06 de Fevereiro,s/n,Centro,57442000,
