1,AC,Acrelândia,ACRELANDIA - CENTRO,CEDUP (CENTRO ESTADUAL DE EDUCACAO PERMANENTE),RUA ADNILSON ROGÉRIO DE OLIVEIRA,951,CENTRO ,69945000,CENTRO DE EDUCAÇÂO A DISTANCIA,-9.9140854,-66.9511459
2,AC,Brasiléia,BRASILEIA - CENTRO,POLO UAB - BRASILEIA,AVENIDA PREFEITO ROLANDO MOREIRA,230,CENTRO,69932000,CENTRO ESTADUAL DE EDUCAÇÃO PERMANENTE - CEDUP,-10.705993,-69.1923916
3,AC,Cruzeiro do Sul,CRUZEIRO DO SUL - CENTRO,CENTRO ESTADUAL DE EDUCACAO  PERMANENTE-CEDUP/UAB,RUA RUI BARBOSA,515,CENTRO,69980000,,-8.026176999999999,-72.8042797
4,AC,Feijó,FEIJO - CIDADE NOVA,CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - FEIJO - UAB,TV. EDMUNDO RIBEIRO DO CARMO,220,CIDADE NOVA,69960000,CENTRO DE EDUCAÇÃO A DISTÂNCIA,-9.2029689,-71.0022311
5,AC,Rio Branco,RIO BRANCO - VILA IVONETE,CENTRO  DE EDUCACAO PERMANENTE DE RIO BRANCO -CEDUP,Getúlio Vargas,3030,Vila Ivonete,69914000,,-9.9484684,-67.82076540000001
6,AC,Sena Madureira,SENA MADUREIRA - CSU,"CENTRO DE EDUCACAO PERMANENTE -CEDUP - ""HEDY RIBEIRO DE QUEIROZ"" - SENA MADUREIRA - UAB",RUA JOÃO MARÇAL,231,CSU,69940000,ESQUINA COM A RUA MARANHÃO,-9.6096717,-69.2877535
7,AC,Tarauacá,TARAUACA - CENTRO,POLO UAB - CENTRO ESTADUAL DE EDUCACAO PERMANENTE (CEDUP),RUA BENJAMIN CONSTANT ,1350,CENTRO,69970000,CENTRO DE ENSINO SUPERIOR A DISTÂNCIA DE TARAUACA,-8.2132323,-71.3824374
8,AC,Xapuri,XAPURI - CENTRO,CENTRO ESTADUAL DE EDUCACAO A DISTANCIA - XAPURI - UAB,Rua Banjamin Constant,S/N,CENTRO,69930000,,-10.5349391,-68.57241119999999
9,AL,Maceió,MACEIO - TABULEIRO DO MARTINS,CAMPUS A. C. SIMOES - MACEIO - UAB,AV. LOURIVAL DE MELO MOTA,,TABULEIRO DO MARTINS,57072970," Universidade federal de alagoas, km 97,6, br 104,",-9.5747625,-35.7652532
10,AL,Maragogi,MARAGOGI - CENTRO,POLO UAB - MARAGOGI,PRAÇA MARIDITE ACIOLI,S/N,CENTRO,57955000,1° andar do B. Brasil,-8.9444808,-35.2807624
11,AL,Olho d'agua das Flores,OLHO D'AGUA DAS FLORES - CENTRO,POLO DE APOIO PRESENCIAL UAB DE OLHO D'AGUA DAS FLORES,Rua 06 de Fevereiro,s/n,Centro,57442000,,-9.491973699999999,-37.2758086
12,AL,Santana do Ipanema,SANTANA DO IPANEMA - NOVO CENTRO COMERCIAL,POLO UAB - SANTANA DO IPANEMA,PRAÇA DR ADELSON ISAAC DE MIRANDA,242,Novo Centro Comercial,57500000, ,-9.355093199999999,-37.1901616
14,AM,Lábrea,LABREA - CENTRO,POLO UAB - LABREA,Av Coronel Luis Gomes,211,Centro,69830000, ,-8.6977958,-65.475736
16,AM,Maués,MAUES - SANTA LUZIA,POLO PRESENCIAL MUNICIPIO DE MAUES - MAUES - UAB,RUA BEIRA MATO,S/N,SANTA LUZIA,69190000,,-5.3064879,-58.18929209999999
17,AP,Santana,SANTANA - NOVA BRASÍLIA,POLO UAB - SANTANA,AV: ANTONIO NUNES,1206,NOVA BRASÍLIA,68927248, ,-0.0421169,-51.1655694
18,AP,Vitória do Jari,VITORIA DO JARI - CIDADE LIVRE,POLO UNIVERSITARIO CAULIM DA AMAZONIA - VITORIA DO JARI - UAB,Prédio,s/n,Cidade Livre,68924000,,1.0943041,-53.2180495
19,BA,Bom Jesus da Lapa,BOM JESUS DA LAPA - AMARALINA,POLO DE APOIO PRESENCIAL DE BOM JESUS DA LAPA,AVENIDA AGENOR MAGALHÃES,s/n,AMARALINA,47600000, ao lado da estádio Bejamin Farah,-13.2786154,-43.2521507
20,BA,Camaçari,CAMACARI - BAIRRO DO NATAL,POLO UAB - CAMACARI,Rua do Telégrafo,S/N,Bairro do Natal,42809000,Cidade do Saber,-12.6958442,-38.3213816
21,BA,Carinhanha,CARINHANHA - CENTRO,POLO UAB - POLO EDUCACIONAL DONA CARMEN/CARINHANHA,PRAÇA DO EDUCANDÁRIO ,1,CENTRO,46445000, próximo a praça beira rio,-14.0119593,-43.8673222
22,BA,Dias d'Ávila,DIAS D'AVILA - NOVA DIAS D'AVILA,POLO UAB - DIAS D'AVILA,RUA CAJAHIBA,221,NOVA DIAS D'ÁVILA,42850000, ESCOLA PROFESSORA ANFRÍSIA SANTIAGO,-12.6093221,-38.3060321
23,BA,Esplanada,ESPLANADA - CENTRO,POLO UAB - ESPLANADA,Praça Nossa Senhora da Pompéia,172,Centro,48370000,Colégio Dr. Antonio Carlos Magalhães,-11.8588187,-37.8512309
24,BA,Ipupiara,IPUPIARA - CENTRO,POLO UAB - IPUPIARA, RUA Aurora,5,CENTRO,47590000, ,-11.8189058,-42.4331624
25,BA,Itamaraju,ITAMARAJU - JAQUEIRA,POLO UAB - ITAMARAJU,RUA IRMÃOS ANDRADA ,1635,JAQUEIRA,45836000, ,-17.0656965,-39.734338
26,BA,Itanhém,ITANHEM - SAO JOAO,CENTRO DE EDUCACAO ABERTA E A DISTANCIA DE ITANHEM - CEADI,Rua Nova Venécia,sn,São João,45970000,,-17.0657942,-40.390488
27,BA,Itapicuru,ITAPICURU - CENTRO,POLO UAB - ITAPICURU,Pra da Bandeira,s/n,centro,48475000,centro,-11.2362892,-38.2322028
28,BA,Jacaraci,JACARACI - CENTRO,POLO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL - JACARACI - BAHIA,AVENIDA MOZART DAVID,s/n,CENTRO,46310000,ao lado da biblioteca municipal,-14.7731402,-42.2756861
29,BA,Lauro de Freitas,LAURO DE FREITAS - IPITANGA,POLO UAB - LAURO DE FREITAS,Rua dos Vereadores,s/n,Ipitanga,42700000,Joquei Clube,-12.8528438,-38.3271112
30,BA,Mata de São João,MATA DE SAO JOAO - CENTRO,MARIA ODILIA VASCONCELOS,RUA MARECHAL DEODORO,36,CENTRO,48280000, ,-12.4778706,-38.1265916
31,BA,Mundo Novo,MUNDO NOVO - CENTRO,POLO UAB MUNDO NOVO,Rua José Carlos da Mota,S/N,CENTRO,44800000,,-11.9430156,-40.5127142
32,BA,Paratinga,PARATINGA - SAO JOAO,POLO DA APOIO PRESENCIAL - PARATINGA - UAB,RUA SÃO JOÃO,S/Nº,SÃO JOÃO,47500000,PRÉDIO,-12.5896471,-43.0971625
