"CEFET-RJ","-22.91190060","-43.22433052","Av. Maracanã,229","Maracanã","Rio De Janeiro","RJ","20271110","(21) 2549--666","http://uab.cefet-rj.br/","http://uab.cefet-rj.br/"
"FIOCRUZ","-22.87670000","-43.24460000","","","Rio De Janeiro","RJ","21041210","(21) 2598-2996","www.ead.fiocruz.br","http://www.ead.fiocruz.br/"
"FURG","-32.03246890","-52.09894610","Avenida Itália","Campus Carreiros","Rio Grande","RS","96201460","(53) 3233-6776","http://www.uab.furg.br/","http://www.uab.furg.br/"
"IF - Trian","-19.75083300","-47.93666600","Av. Doutor Florestan Fernandes,131","Univerdecidade","Uberaba","MG","38064300","(34) 3326-1410","http://www.iftm.edu.br/ead/","http://www.iftm.edu.br/ead/"
"IFAL","-9.55320000","-35.77330000","Rua João Gualberto Pereira do Carmo,113","Ponta Verde","Maceió","AL","57035660","(82) 3194-1150 r1306","http://ead.ifal.edu.br/","http://ead.ifal.edu.br/"
"IFAM","-3.12332820","-60.02508460","Rua Ferreira Pena,1109","Centro","Manaus","AM","69025010","(92) 0000-0000","http://ead.ifam.edu.br/ead/","http://ead.ifam.edu.br/ead/"
"IFCE","-3.73045120","-38.52179890","","","Fortaleza","CE","60040531","(85) 3307-3645","www.ifce.edu.br","http://www.ifce.edu.br/"
"IFES","-20.30536000","-40.30126000","Av. Rio Branco, 50","Santa Lúcia","Vitoria","ES","29056-25","(27) 3227-5564 x 200","http://cead.ifes.edu.br/","http://cead.ifes.edu.br/"
"IFMA","-2.53377000","-44.28783000","Avenida Getúlio Vargas,45","Monte Castelo","São Luis","MA","65030005","(98) 3221-4050","http://www.ifma.edu.br/","http://www.ifma.edu.br/"
"IFMT","-15.59211000","-56.09827000","Avenida Senador Filinto Miller,953","Duque De Caxias","Cuiabá","MT","78050560","(65) 3616-4175 r4175","WWW.UAB.IFMT.EDU.BR","http://www.uab.ifmt.edu.br/"
"IFNMG","-15.48750000","-44.36111100","","","Januária","MG","39480000","(38) 3201-3050","http://ead.ifnmg.edu.br/","http://ead.ifnmg.edu.br/"
"IFPA","-1.43790000","-48.46133000","Almirante Barroso,1155","Marco","Belem","PA","66610770","","http://www.ead.ifpa.edu.br/","http://www.ead.ifpa.edu.br/"
"IFPB","-7.00422000","-34.83417000","Avenida 1 de Maio ,720","Jaguaribe","Joao Pessoa","PB","58015430","(83) 3612-1200","http://ead.ifpb.edu.br/site","http://ead.ifpb.edu.br/site"
"IFPE","-8.05665340","-34.95558870","Av. Professor Luiz Freire,500","Cidade Universitária","Recife","PE","50740540","(81) 2125-1793","http://dead.ifpe.edu.br/dead/","http://dead.ifpe.edu.br/dead/"
"IFRN","-5.81144220","-35.20462350","Av. Senador Salgado Filho,1559","Tirol","Natal","RN","59015000","(84) 4005-2643 r643","http://portal.ead.ifrn.edu.br/","http://portal.ead.ifrn.edu.br/"
"IFRR","2.81362000","-60.69447000","Avenida Glaycon de Paiva,2496","","Boa Vista","RR","69306025","(95) 3624-1224","http://ead.ifrr.edu.br/dipead/","http://ead.ifrr.edu.br/dipead/"
"IFSC","-27.59071840","-48.55822600","Rua Duarte Schutel,99","Centro","Florianopolis","SC","88075010","(48) 3877-9002","http://www.ifsc.edu.br/ensino/ead-if-sc","http://www.ifsc.edu.br/ensino/ead-if-sc"
"IFSul","-31.76658000","-52.35226000","Praça Vinte de Setembro,455","Centro","Pelotas","RS","96015360","(53) 2123-1005","http://ead.ifsul.edu.br/","http://ead.ifsul.edu.br/"
"UDESC","-27.58481000","-48.50266000","","","Florianopolis","SC","88035001","(48) 3321-8429","http://www.cead.udesc.br/","http://www.cead.udesc.br/"
"UEA","-3.13286190","-59.98652910","Avenida Djalma Batista, 3578 ","Flores","Manaus","AM","69050010","(92) 3878-4455 ","http://www.uea.edu.br",""
"UECE","-3.79437000","-38.55619000","Av. Parajana,1700","Itaperi","Fortaleza","CE","60740903","(85) 3101-9962","http://www.sate.uece.br/","http://www.sate.uece.br/"
"UEFS","-12.25789340","-38.95980470","Av. Transnordestina, s/n","Novo Horizonte","Feira De Santana","BA","44036900","(75) 3161-8613","www.uefs.br","http://www.uefs.br/"
"UEG","-16.33328280","-48.95257560","Avenida Brasil Sul,2800","Jardim Gonçalves","Anápolis","GO","75133050","(62) 3328-1407","www.cear.ueg.br","http://www.cear.ueg.br/"
"UEL","-23.31128780","-51.15950230","Rodovia Celso Garcia Cid, PR 445, KM 380","Campus Universitario","Londrina","PR","86057970","(43) 3371-4311","http://www.uel.br/nead/portal/","http://www.uel.br/nead/portal/"
"UEM","-23.42510410","-51.93828460","Av Colombo,5790","Zona Sete","Maringá","PR","87020900","(44) 3011-4098","http://www.nead.uem.br/","http://www.nead.uem.br/"
"UEMA","-2.57830000","-44.20801000","Cidade Universitária Paulo VI, Caixa Postal 09","Tirirical","São Luis","MA","65055970","(98) 3257-1195 r202","http://www.uemanet.uema.br/portal/","http://www.uemanet.uema.br/portal/"
